span,label
This is from a conversation they had in 2011… shortly after Oshea finished serving his sentence,['Explain']
You and I met at Stillwater Prison,['Explain']
"I wanted to know if you were in the same mindset of what I remembered from court, where I wanted to go over and hurt you",['Explain']
 But you were not that 16-year-old. ,['Explain']
You were a grown man,['Explain']
 I shared with you about my son.,['Explain']
And he became human to me.,['Explain']
"You know, when I met you it was like, ok, this guy is real",['Explain']
"And then, when it was time to go, you broke down and started shedding tears and the initial thing to do was just try and hold you up as best I can– just hug you like I would my own mother, you know",['Explain']
" After you left the room, I began to say: ”I just hugged the man that murdered my son.”",['Explain']
"nd I instantly knew that all that anger and the animosity, all the stuff I had in my heart for 12 years for you– I knew it was over, that I had totally forgiven you. ",['Explain']
As far as receiving forgiveness from you– sometimes I still don’t know how to take it because I haven’t totally forgiven myself yet.,['Explain']
 It’s something that I’m learning from you – I won’t say that I have learned yet– because it’s still a process that I’m going through.,['Explain']
I treat you as I would treat my son,['Explain']
 And our relationship is beyond belief.,['Explain']
 We live next door to one another.,['Explain']
Yeah. So you can see what I’m doing– you know first hand. ,['Explain']
We actually bump into each other all the time leaving in and out of the house,['Explain']
Uh-huh…,['Response']
"And, you know, our conversations, they come from ”Boy, how come you ain’t called over here to check on me in a couple of days",['Explain']
You ain’t even asked me if I need my garbage to go out!”,['Explain']
Uh-huh.,['Response']
I find those things funny because it’s a relationship with a mother for real. ,['Explain']
"Well, my natural son is no longer here",['Explain']
I didn’t see him graduate,['Explain']
Now you’re going to college,['Explain']
I’ll have the opportunity to see you graduate,['Explain']
 I didn’t see him getting married,['Explain']
"Hopefully one day, I’ll be able to experience that with you",['Explain']
Just to hear you say those things and to be in my life in the manner that which you are is my motivation,['Explain']
 It motivates me to make sure that I stay on the right path.,['Explain']
You still believe in me and the fact that you can do it despite how much pain I caused you– it’s amazing. ,['Explain']
"I know it’s not an easy thing, you know, to be able to share our story together.",['Explain']
"Even with us sitting here looking at each other right now, I know it’s not an easy thing",['Explain']
So I admire that you can do this.,['Explain']
"I love you, lady.",['Statement']
" I love you too, son.",['Statement']
After that interview aired on NPR… Mary and Oshea continued sharing their story far beyond Minneapolis.,['Explain']
"They hit the road… visiting churches, synagogues, and prisons…=",['Explain']
We were invited to a lot of different places.,['Explain']
"We’ve had a lot of moments, us walking through the airports together, trying to figure out where we’re going",['Explain']
"And as we share our story, we still get to hear each other’s parts which brings us even more closer",['Explain']
"And it seemed like the mission kind of took off, even to the point where it grew its own legs and started running.",['Explain']
They were on every national media outlet you can think of and international too.,['Explain']
She spoke at conferences around the world on love and forgiveness and met with world leaders.,['Explain']
 President Barack Obama even thanked her for her service.,['Explain']
That’s all because of how Mary has helped other families who have lost children to homicide. ,['Explain']
"She started an organization in 2005 called From Death to Life… that provides healing groups for mothers on both sides of a tragedy, and encourages forgiveness when mothers are ready.",['Explain']
: And through her work… she met the love of her life… a man named Ed Roy. ,['Explain']
"When my first-born and my one and only son was murdered, my daughters had asked me to go to the church to hear you speak.",['Explain']
"I wasn’t ready for the forgiveness part, but I was at a loss.",['Explain']
"Like I shared with you, I thought God took my boy and was punishing me for my own crimes",['Explain']
 I had joined the gangs early and pulled my first armed robbery at 11 years old.,['Explain']
"But with you being there, I saw hope. ",['Explain']
You took me under your wing; that’s why I called you my angel.,['Explain']
"Then I remember, I had that dream — that was just before our wedding",['Explain']
"And your son was saying, ”Yeah, Mom! Alright!” You know, ”Right on!",['Explain']
"nd my son was saying, ”Yeah, Dad. ‘Bout time you got it right!”",['Explain']
"As the years and time goes by, you know where I’ve been",['Explain']
You know where I hurt.,['Explain']
And I know you take care of me when I’m not doing well.,['Explain']
The anniversary is coming up of my son’s murder and I’m grateful to have someone there that has experienced the same thing that I have.,['Explain']
That empty hole is always going to be there in our hearts.,['Explain']
"But I feel like when we together and we able to listen to one another’s heartbeats, it says a lot",['Explain']
I’m thankful; I really am.,['Explain']
You’re a good man.,['Explain']
They recorded that interview in 2017,['Explain']
"But recently, Ed has had to care for Mary in an entirely different way.",['Explain']
Stay with us…,['Explain']
 10 years after we first met Mary… she was diagnosed with Lewy Body Dementia… sometimes described as Alzheimer’s and Parkinson’s all rolled into one.,['Explain']
"And her husband, Ed, has been her main caretaker.",['Explain']
Just a few months ago… the two of them sat down for another interview.,['Explain']
There was a lot of things that neither one of us didn’t understand,['Explain']
"It was things like leaving something on the stove, parking your car a few houses down the street. ",['Explain']
"And as it progressed, we started understanding together what we was up against.",['Explain']
"Like, when you started seeing things — the invisible people.",['Explain']
"And we talked about it, honey",['Explain']
" You know, we made humor out of them",['Explain']
We call them the little people,['Explain']
Like when you had several bowls of cereal out and you was feeding them.,['Explain']
" And I said, “You giving all my Cap’n Crunch to the little people.",['Explain']
 What about me?”,['Explain']
"And you started laughing, you know.",['Explain']
We have so many moments.,['Explain']
"Yeah, I need to write them down. ",['Explain']
 They are written down,['Explain']
"They are written down in our hearts, honey.",['Explain']
Sometimes I think about when people say that a mind is a terrible thing to waste,['Explain']
…to waste. yeah.,['Explain']
But you know what?,['Explain']
The heart is the terrible thing to waste.,['Explain']
"You know, don’t think about just the memory things; we’re here to remember for each other",['Explain']
 Don’t worry about the reading because I’m here and read to you. ,['Explain']
How many men would do the things that you do as far as taking care of me? ,['Explain']
Like putting on my shoes today.,['Explain']
That’s what it’s all about.,['Explain']
Yeah.,['Response']
"You know, it’s about us taking care of one another. ",['Explain']
"ou’ve given me, Mary, a reason for living. ",['Explain']
"I always told you that, though.",['Explain']
Uh-huh.,['Response']
So that’s what I see you doing and giving to other people is hope,['Explain']
You have to have some kind of hope to hold on to,['Explain']
"When you don’t have that, you don’t have nothing. ",['Explain']
"So, it’s true",['Explain']
"It’s true what they say about when, uh, when they say wait on God, that he’ll send you that person",['Explain']
"You know, he knew what was in my heart.",['Explain']
 Wow. I love you.,['Statement']
I love you.,['Statement']
When word of Mary’s illness started to circulate among the families she’s helped… that’s when the visits we told you about earlier began…,['Explain']
You’ve got a full slate of visitors for today. ,['Explain']
Why are you saying somebody wants to come and sit and talk to me?,['Explain']
"Oh Mary, the world would be lined up if they were invited",['Explain']
That’s Brian Mogren,['Explain']
"One of Mary’s close friends and the Director of the St. Jane House, where Mary’s healing groups have been meeting for more than 15 years.",['Explain']
He started hosting “Thursdays with Mary” … so family and friends… including those Mary has helped… can now help her remember her impact.,['Explain']
 And at Mary’s request… Brian’s been recording these conversations.,['Explain']
" When I saw Brian’s note about meeting with you on Thursdays, I’m like, Oh, let me get my name on that list. Cause I want to see my friend.",['Explain']
Yeah. I’m so glad that you did,['Response']
 That’s Mary’s longtime friend Gwen Chandler.,['Explain']
"Baby, you will never have any idea how much you’ve influenced people’s lives",['Explain']
And people will be saying your name for generations and generations. ,['Explain']
" I met someone recently, her brother was murdered when she was younger, and she wants to meet the person who killed her brother",['Explain']
Michele Braley is a social worker who was also with Mary at the prison the day that Mary met Oshea,['Explain']
And they’ve been friends ever since…,['Explain']
"And she said, partly, she had the courage to do that because she knew of your story and that you met Oshea",['Explain']
She’s never met you but you gave her courage,['Explain']
"You know, we don’t know all the lives we impact, do we?",['Explain']
"You know, but I wanted to get a chance to tell you that, Mary.",['Explain']
And despite her illness…,['Explain']
Mary’s still been helping to run her healing group for mothers every other Saturday…,['Explain']
My name is Constance Styles and my son Dante Gray was murdered in 1994.,['Explain']
 Well I’m Ebony Robinson.,['Explain']
"My son’s name is Andre Riley Jr and I lost him July 3rd, 2016.",['Explain']
"My son was murdered in 2016, December 25th. ",['Explain']
My name is Angel Cradle.,['Explain']
The loss of my son Dewayne Tyson Sr. happened in 2007 and the loss of my grandson Dewayne Tyson Jr. happened in 2018,['Explain']
"My name is Ann and my son, Maurice Wilson, was killed October the sixth, 1997",['Explain']
" My name is Princess Titus and my son, Anthony Titus, was hit by a bullet intended for another child two weeks after his 16th birthday, right before the fireworks on July 4th, 2010",['Explain']
Some of the mothers who were there this particular day… turned the tables on Mary…,['Explain']
"Do you mind if we spend some time sharing with you, Mother Mary, what you mean to us?",['Explain']
Ok. Amen,['Response']
All right.,['Response']
Amen.,['Response']
I remember calling Mary around Mother’s Day.,['Explain']
" She said, this is just how it gets around Mother’s Day and holidays are gonna be like that.",['Explain']
So to have a woman who did walk that walk to let me know that I was not crazy and that we were not alone.,['Explain']
Loneliness doesn’t help grief and Mary did not allow us to be lonely. ,['Explain']
"So we’re forever grateful to you, Ms. Mary",['Explain']
"It’s not a happy situation, but we are blessed to be able to have you as our shepherd.",['Explain']
"Ooh, sister Mary, you mean the world to me.",['Explain']
I admire you so much,['Explain']
"o matter how hard things have been for you lately, you are still here teaching us and showing us what true love is. ",['Explain']
I think we all in tears around the table now,['Explain']
" So Mary, thank you for modeling… shining your little light everywhere you go.",['Explain']
Thank you Mary Johnson-Roy.,['Statement']
"Love you, ladies",['Statement']
We love you.,['Statement']
"Appreciate you so much, you don’t know.",['Statement']
But for all that’s happened over the past year… there was one person who hadn’t had this kind of conversation with Mary yet… Oshea,['Explain']
Her illness has affected him too,['Explain']
 It’s hard to see this woman who has meant so much to him declining.,['Explain']
"She’s not able to travel anymore or share their story together, which was such a big part of his life.",['Explain']
It gave him purpose,['Explain']
" So as much as she still means to him, he’s been hesitant to talk with her directly about her health.",['Explain']
"But finally, this summer, Oshea decided to sit down with Mary again… and StoryCorps was there to record it.",['Explain']
" Well Mary, it’s been 12 years since we sat down for our first StoryCorps interview and it’s more emotional for me this time",['Explain']
"You know, with everything that we’ve been through and we’ve dealt with and everything that’s going on now. ",['Explain']
"You know, it hurts to see",['Explain']
 I’m used to the lady that fusses at me all the time,['Explain']
But you’re strong and you’re going to fight for whatever you believe in,['Explain']
And I still see you fighting.,['Explain']
I’m glad to see you,['Explain']
I’m glad to see how you’re doing,['Explain']
So I thank God for that chance today.,['Explain']
A lot has changed.,['Explain']
"I, myself, have two children: my son, he’s three",['Explain']
And a little girl.,['Explain']
She’s how old now?,['Closed-ended']
She’s six years old now.,['Explain']
 I remember when she was born you helped me get the car seat for her,['Explain']
"ut since we were living next door to each other, you left me for another fella.",['Explain']
His name is Ed,['Explain']
I remember when I first got wind of you and Ed going out on dates.,['Explain']
"I’m like, wait, what’s going on?",['Explain']
You was mine.,['Explain']
"But you all blessed me with the opportunity to not only be present in the wedding but to walk you down the aisle, that was, like, again, your words: beyond belief. ",['Explain']
Yeah. I’m proud of you.,['Explain']
I’ve been proud for a while.  ,['Explain']
It has been an amazing journey,['Explain']
"From a hug to you becoming a grandmother through me with my kids, to you just being a beacon of light to a lot of people.",['Explain']
"On our last interview we ended it with me saying “I love you, lady.” ",['Explain']
Mary’s still living at home with Ed… and goes to a daytime memory care center three times a week.,['Explain']
Brian has set up a GoFundMe to help support them,['Explain']
But one thing is clear… even as Mary’s memory dims… her light does not.,['Explain']
" This little light of mine, I’m gonna let it shine, yeah.",['Explain']
This little light of mine…,['Explain']
"Yeah, I’m gonna let it shine.",['Explain']
"Let it shine, let it shine.",['Explain']
Let it shine,['Explain']
Everywhere I go,['Explain']
Everywhere I go… ,['Response']
I’m gonna let it shine… ,['Response']
 I’m gonna let it shine… ,['Response']
Yes…,['Response']
"Everywhere I go, I’m gonna let it shine. ",['Response']
Everywhere…,['Response']
Everywhere I go… ,['Response']
I’m gonna let it shine…,['Response']
Let it shine.,['Statement']
Let it shine,['Statement']
 Let it shine. ,['Statement']
"Yeah, Jesus gave it to me, yeah he did",['Response']
’m gonna let it shine.,['Statement']
"Yeah Jesus gave it to me, I’m gonna let it shine",['Statement']
"Jesus gave it to me, and I’m gonna let it shine",['Statement']
 Let it shine,['Statement']
Let it shine.,['Statement']
Let it shine.,['Statement']
This episode was produced by Jasmyn Morris and Jud Esty-Kendall,['Explain']
 Our Technical Director is Jarrett Floyd,['Explain']
Max Jungreis is our Associate Producer,['Explain']
"Special thanks to Ian Gonzalez, Gaspar Caro, Liyna Anwar, Roselyn Almonte and especially…Brian Mogren",['Explain']
Without him..none of these recordings would have been possible,['Explain']
"Artwork for this episode was created by Liz McCarty, you can see it on our website",['Explain']
"There, you can learn more about recording your own interview",['Explain']
I’m Michael Garofalo.,['Explain']
And I’m Jasmyn Morris. ,['Explain']
Join us again next week for our final episode… as we wrap up this special series…,['Explain']
"As always, thanks for listening.",['Explain']
" We’ve mentioned a lot of numbers over the past few episodes… 27,000 interviews on the mobile tour… 17,000 interviews in just one day when we released the app",['Explain']
But StoryCorps doesn’t just care about numbers… \n ,['Explain']
WHO records interviews is just as important as how many we collect,['Explain']
 If we’re building an archive of American voices… we need to make sure that the archive reflects who actually lives here in the United States,['Explain']
So while StoryCorps is open to anyone who wants to do an interview… we’ve worked to make sure that stories and voices that don’t often get included in the historical record ARE captured in the StoryCorps archive.,['Explain']
We call these efforts “initiatives”… you’ve heard about one already – StoryCorps Griot.,['Explain']
"There’s been quite a lot… like, Historias… or Military voices…",['Explain']
Our 9/11 initiative ,['Response']
We did one for people with Memory Loss…,['Response']
…and another inviting immigrants to record…,['Response']
But on this episode… we’re going to focus on just one of the many that we’ve done… our collection of LGBTQ voices… called StoryCorps OutLoud… ,['Response']
To be in the service for my country is the greatest thing I thought I did but I was kicked out for being homosexual.,['Explain']
When I first came out they didn’t have the words that they have today.,['Explain']
"So, attempting to tell your extraordinarily loving blue-collar parents that you were transgender was tantamount to telling them I was from Jupiter.",['Explain']
"We got married at the veterans home and we said, ’If you came to see the bride, you’re out of luck!’",['Response']
Do you remember that?,['Closed-ended']
"Yes, of course!",['Response']
 I’m Michael Garofalo.,['Explain']
nd I’m Jasmyn Morris,['Explain']
From NPR… this is StoryCorps Then and Now… celebrating 20 years of StoryCorps.\n ,['Explain']
"So we thought if we’re telling the story of StoryCorps this season, recording and sharing stories from LGTBQ folks has always been a part of that work and so why is that built into your fabric as a documentary radio producer and the founder of StoryCorps?",['Explain']
"It’s always been an issue that’s, you know, close to my heart.",['Explain']
 I’m the proud son of a gay dad. ,['Explain']
That’s Dave Isay… Jasmyn recently sat down with him to talk about the origins of OutLoud.,['Explain']
"My dad was named Richard Isay, and he was a psychiatrist and a psychoanalyst",['Explain']
"For many years, he saw only gay patients and was kind of a revolutionary in the psychoanalytic world in saying that homosexuality was not a disease and advocating in the work he did for helping LGBTQ folks find love",['Explain']
 So that was his mission in life.,['Explain']
I accidentally discovered he was gay when I was 21 and our nuclear family exploded,['Explain']
"Despite, you know, many hints and clues, I was taken completely by surprise.",['Explain']
" And I was really unhappy about a lot of things, uh, and confused about a lot of things.",['Explain']
And I withdrew from my dad for a while and it was about that time that I started making radio documentaries.  ,['Explain']
"At some point after my dad came out, he did tell me the story of the Stonewall riots, which I knew nothing about. ",['Explain']
And it was just a year or two later that I made my first radio documentary and I decided to make it on Stonewall.,['Explain']
" It was the first oral history of people who had been at Stonewall, believe it or not.",['Explain']
"I remember on that night, when we saw the riot police, all of us drag queens, we linked arms like the Rockettes and sang the song we used to sing.",['Explain']
 “We are the village girls. ,['Explain']
We wear our hair in curls. ,['Explain']
We wear our dungarees above our nelly-knees” and the police went crazy hearing that and they just immediately rushed us.,['Explain']
 We gave one kick and fled.,['Explain']
 A lot of these folks had never been interviewed before about what had happened on that day.,['Explain']
 And I was very interested in what life was like before Stonewall.,['Explain']
"Sylvia Rivera, who’s kind of known as the Rosa Parks of the Stonewall movement, became one of my best friends and was the centerpiece of this radio documentary, which was named Remembering Stonewall, and I dedicated it to my dad.",['Explain']
 The era before Stonewall was a hard era. ,['Response']
"There was always the gay bashings on the drag queens by heterosexual men, women, and the police",['Explain']
" We learned to live with it because it was part of the lifestyle at that time, I guess, but none of us were very happy about it.",['Explain']
" In some ways, was that you trying to figure out this time in your life where there was a secret, like, life before your dad coming out?",['Open-ended']
Yeah. I was very interested to understand what he had gone through,['Response']
" And, you know, once he came out, I had found out things like, you know, he had been entrapped in a restroom, and he had to beg the cops not to put his name in the paper and, you know, destroy his life.",['Explain']
"And he had been a rising star in the world of psychoanalysts, and that star was completely extinguished the minute he came out.",['Explain']
"He was shunned and, you know, refused positions and he was very moved by the fact that I had made this documentary. ",['Explain']
"And, you know, it was me making an effort to understand him",['Explain']
"And, um, that was the beginning of our rebuilding our relationship with each other.",['Explain']
"Many, many, many years after that, I started StoryCorps",['Explain']
 And I guess you could say that there was something about not being crazy about secrets in our lives that was part of the motivation behind starting StoryCorps – giving people the chance to say the important things to the people who are most important to us,['Explain']
And that included Dave,['Explain']
Here he is talking with his dad in 2004….,['Explain']
What truly was the happiest moment of your life? ,['Open-ended']
I think I am happier now than I’ve ever been in my life,['Response']
"So it’s, um, happiness is a continuing process. ",['Explain']
How do you want to be remembered?,['Open-ended']
Where am I going?,['Open-ended']
 I don’t think much about that. ,['Response']
You think about dying? ,['Closed-ended']
 All the time. ,['Response']
 Are you scared of dying? ,['Closed-ended']
"No, I think about not having good times with Gordon anymore.",['Response']
" It’s, uh, it’s more an absence of that. ",['Explain']
What do you think is the most important thing that you’ve accomplished in your life?,['Open-ended']
 What are you proudest of? ,['Open-ended']
Very proud of you kids.,['Response']
I am very proud of the work I’ve done and I am proud of being able to turn my life around and make it into a happy and good one.,['Response']
Were you unhappy when I was a kid? ,['Closed-ended']
"No, I think I was happy when you were a kid",['Response']
And I was a good father and I loved having kids,['Explain']
You think I was a good father? ,['Closed-ended']
 I think you were a good father. ,['Response']
You’re still a good father.,['Statement']
My dad got sick in 2012 on a Friday,['Explain']
 He was diagnosed with cancer and he died the next week,['Explain']
"And he actually died on the anniversary of Stonewall on June 28th, 2012.",['Explain']
"At the memorial service, I announced that in honor of my dad, we would be recording stories of people who were alive before Stonewall and that’s where it all began.",['Explain']
" And then, you know how I am— ",['Explain']
Yeah,['Response']
"I’m like a dog with a piece of steak, you know?",['Rhetorical']
"After my dad died, there was no way that this thing wasn’t gonna get done, if it killed me",['Explain']
"And you know, that’s the way I, I guess, that I deal with, you know, grief or, or any issues, is that I just stay focused on StoryCorps and get something new done.",['Explain']
"I decided, you know, come hell or high water, we were going to do this program, which we named OutLoud. ",['Explain']
It launched in June 2014…,['Explain']
LGTBQ people from all walks of life came in to tell stories of love… loss… resiliency and creativity… and… family. ,['Explain']
 So in keeping with Dave’s story… we’re spending this episode hearing conversations about family… ,['Explain']
This first one is set in a small farming town in Washington State… where Patrick Haggerty was growing up in the 1950s,['Explain']
"At StoryCorps he told his daughter, Robin, about something that happened in high school. ",['Explain']
There was an assembly that day and Patrick was going to perform. \n ,['Explain']
"I’m riding to school with my oldest brother, and on the way to school, I’m putting glitter all over my face",['Explain']
"And my brother said, ”What in the hell are you doing?”",['Explain']
"And I said, ”I’m putting on my costume.”",['Explain']
" And he said, ”Well, I wouldn’t be caught dead wearing that.” ",['Explain']
"So he dropped me off at the school, and he called my dad up, and he said, ”Dad, I think you better get up there.",['Explain']
 This is not going to look good.” ,['Explain']
So my dad drove up to the high school,['Explain']
". And he had his farmer jeans on and they had cow crap on them, and he had his clodhopper boots on.",['Explain']
" And when I saw him coming, I ducked around the hall and hid from him.",['Explain']
"And it wasn’t because of what I was wearing, it was because of what he was wearing.  \n ",['Explain']
"So, the assembly goes well, and I climb in the car and I’m riding home with my father. ",['Explain']
"My father says to me, ”I was walking down the hall this morning, and I saw a kid that looked a lot like you ducking around the hall to avoid his dad.",['Explain']
"But I know it wasn’t you, cause you would never do that to your dad.”",['Explain']
" And I squirmed in my seat, and I finally busted out and I said, ”Well dad, did you have to wear your cow-crap jeans to my assembly?”",['Explain']
"And he said, ”Look, everybody knows I’m a dairy farmer. ",['Explain']
This is who I am.”,['Explain']
And he looked me square in the eye,['Explain']
"And then he said, ”Now, how bout you?",['Explain']
"When you’re a full-grown man, who are you gonna go out with at night?",['Explain']
" And I said, ”I don’t know.” ",['Explain']
"And he said, ”I think you do know, and it’s not gonna be that McGlaughlin girl that’s been making goo-goo eyes at you but you won’t even pick up the damn telephone.”",['Explain']
"“Now, I’m gonna tell you something today, and you might not know what to think of it now, but you’re gonna remember when you’re an adult. ",['Explain']
Don’t sneak.,['Explain']
" Because if you sneak, like you did today, it means you think you’re doing the wrong thing",['Explain']
"And if you run around spending your whole life thinking that you’re doing the wrong thing, then you’ll ruin your immortal soul.",['Explain']
"And out of all the things a father in 1959 could have told his gay son, my father tells me to be proud of myself and not sneak. ",['Explain']
My reaction at the time was to get out in the hay field and pretend like I was as much of a man as I could be,['Explain']
"And I remember flipping 50-pound bales three feet up into the air going, ”I’m not a queer",['Explain']
 What’s he talking about?”,['Rhetorical']
But he knew where I was headed.,['Response']
And he…he knew that making me feel bad about it in any way was the wrong thing to do,['Explain']
" I had the patron saint of dads for sissies, and no, I didn’t know at the time, but I know it now",['Explain']
"Patrick Haggerty remembering his father, Charles Edward Haggerty",['Explain']
 Patrick was the founder of Lavender Country – which he called the world’s first openly gay country band,['Explain']
He died in 2022.,['Explain']
How have you seen things change in the way that we talk about and the way we tell stories from the LGBTQ community?,['Explain']
" I remember when I did the Stonewall documentary, I was trying to get newspapers to cover it, and I called the major newspaper in New York and said, you know, “we have this documentary, the first oral history of Stonewall, would you like to do a story about it?”",['Explain']
" And they said, “we don’t do stories about those kinds of people.”",['Explain']
"I like to think that at StoryCorps, we just, you know, whisper truths in people’s ears.",['Explain']
And what we try and do is find stories that haven’t been told before that creep up behind you and help you see yourself and someone who you might have thought was very different than you,['Explain']
 And I think we’ve done that from the first days of StoryCorps,['Explain']
" So I think, you know, nothing’s changed.",['Explain']
" We just, do our best to, you know, help be the vehicle through which people can have their stories told to the world.",['Explain']
More of those stories coming… after the break.,['Explain']
Stay with us…,['Explain']
Welcome back – we’re listening to conversations from StoryCorps OutLoud… our initiative to collect and preserve the stories of LGBTQ people across the country.,['Explain']
M.J. Seide fell in love in the early 1990s,['Explain']
Her partner had already been married and raised children… even grandchildren…,['Explain']
"Which meant that M.J. suddenly became a grandma, too…",['Explain']
"Here she is with her 12-year-old granddaughter, Genna Alperin.",['Explain']
How has your life been different than what you thought it was gonna to be?,['Open-ended']
I thought that my life was probably not one that was gonna be worth living.,['Response']
"There was this hole that I had all of my life because, I never thought I’d be able to walk along the beach and hold somebody’s hand because I’m gay",['Explain']
"But, you know, when I fell in love with Mamommy, I knew that she was my soulmate. ",['Explain']
Do you know what I mean by that?,['Closed-ended']
Yeah.,['Response']
 I’d never felt that way about anyone before.,['Explain']
" And um, after she had gotten her divorce from grandpa Jim, she was very upfront with your mom",['Explain']
" She told your mom that she was in love, and it was with a woman",['Explain']
 And that was the first time that anyone was proud to say that they loved me,['Explain']
 That made me the happiest I’d ever been in my life. ,['Explain']
"And then, when I got to know your mom and uncle Justin, I knew that I had hit paradise because I now have a family that I can wrap my arms around",['Explain']
Is there anything that you’ve never told me that you wanna tell me now?,['Explain']
"You know, you and I talk about most things but this is the first time that we’ve ever talked about the fact that I’m gay and I guess what I wanna ask you is, does it embarrass you to have a gay grandma?",['Explain']
No,['Response']
: No?,['Clarification']
It doesn’t really matter,['Response']
 It doesn’t.,['Response']
It just matters my relationship with you.,['Response']
" I always tell you how much I love you, but I don’t know that you can really understand the depth of it, because you’re someone that I never thought would be in my life and I can’t imagine my life without you.",['Response']
"You have always been a child that makes up her own mind and, I always knew that you were going to grow up to be a woman that we would all be very, very proud of.",['Explain']
"Well, um",['Response']
You’re one of my favorite grandmas,['Response']
"You do, like, a lot of things with me like ride roller coasters and (GA & MS laugh) play poker (GA & MS laugh) I don’t know what life would be like without you here.",['Explain']
 I love you sweetheart.,['Response']
Love you too.,['Response']
OutLoud was started to preserve the stories of the pre-Stonewall generation while we still could… but as it’s continued… it’s also documented several other generations… including the youngest one…,['Explain']
